name,repo,ref,description
anofox_similarity,DataZooDE/anofox-similarity,a1f329752f2d80ca64a92713c6eac8ee9cfc664c,"Multi-modal product similarity search for manufacturing supply chain planning. Find similar materials by BOM component overlap (Jaccard), graph-structural similarity (Weisfeiler-Lehman kernel), text embeddings, and transactional patterns, with predecessor detection and cold-start analog matching for demand forecasting."
anofox_statistics,DataZooDE/anofox-statistics,v0.9.0,"A DuckDB extension for statistical regression and inference in SQL - OLS, Ridge, Elastic Net, LARS/LassoLars, WLS, recursive least squares, robust estimators (Huber, RANSAC, Theil-Sen), GLMs (Poisson, Negative Binomial, Binomial, Tweedie, Gamma, Logistic) with offset support, mixed-effects/hierarchical GLMs with random slopes and crossed/nested factors, AFT survival regression, explicit priors with Laplace intervals, empirical-Bayes shrinkage, and time-series regression, all with full diagnostics and inference."
anofox_tabfm,DataZooDE/anofox-tabfm,51f0850f0e635d35b7ba054b1bd732b18a026c35,"Zero-shot tabular machine learning inside DuckDB — classification, regression, synthetic-data generation and imputation with real tabular foundation models (Mitra, TabPFN v2/2.5/3, TabICL, Orion-BiX, TabFM) on ONNX Runtime, no training loop"
anofox_tabular,DataZooDE/anofox-tabular,53658d32f3c7e530f9e135640def86243102b824,"A duckdb extension which combines data quality and data preparation tools for tabular data."
anofox_visualization,DataZooDE/anofox-visualization,d9aaf93fb80497c07e0586a1cccd3f2647dda964,"Render charts and dashboards straight from SQL — the ggplot-rs grammar of graphics, emitted as SVG."
nanoarrow,paleolimbot/duckdb-nanoarrow,42e4199a67c4cd0789087562a025e87e7130fdc3,"Allows the consumption and production of the Apache Arrow interprocess communication (IPC) format, both from files and directly from stream buffers."
astro,synapticore-io/astro-duck,a9f49d72ff4fd4c56a4ae0927172c15b204b910b,"Astronomical calculations + FITS file I/O - coordinate transforms, photometry, cosmology, dust extinction, sidereal time"
behavioral,tomtom215/duckdb-behavioral,649dbac043925ff478d52d1be342734793dcca36,"Behavioral analytics functions inspired by ClickHouse (sessionize, retention, window_funnel, window_funnel_events, sequence_match, sequence_count, sequence_match_events, sequence_next_node)"
bigquery,hafenkran/duckdb-bigquery,0c55a9b81646002edc0c73f36b703c8c39cea2ab,"Integrates DuckDB with Google BigQuery, allowing direct querying and management of BigQuery datasets"
bitfilters,query-farm/bitfilters,904812f1c10a4bfc9324e426c1a9309376feda05,"Provides high-performance, space-efficient probabilistic data structures—including quotient, XOR, and binary fuse filters—for fast approximate set membership testing with no false negatives and configurable false positive rates."
blockduck,luohaha/BlockDuck,60e9c73da0376c2be2e5f82dfb1c756516373344,"Live SQL Queries on Blockchain"
boilstream,dforsber/boilstream-extension,8bb35073af2420e1d78e2c8448f4879ba61e861a,"Secure remote secrets storage with OPAQUE PAKE authentication, email/password registration, MFA login, and automatic ducklake mounting"
brew,adriens/duckdb-brew,60c96b1ad37ef63eb800c6ecba96c8db19774fd8,"Get locally homebrew casks, packages and formulas and their dependencies as nicely types tables"
bvh2sql,nkwork9999/bvh2sql,774970f749ccab7a6e37271363882549e6d0e2f3,"BVH (BioVision Hierarchy) motion capture file parser for DuckDB"
cache_httpfs,dentiny/duck-read-cache-fs,933957df0631fc62d62cb851ece11aa26f72f08a,"Read cached filesystem for httpfs"
cache_prewarm,dentiny/duckdb-cache-prewarm,58444ddbe81c75e59cde0027b31a9ac655118df5,"Prewarm data blocks into DuckDB's buffer pool or OS page cache for faster queries"
capi_quack,duckdb/extension-template-c,7f71365c5ce61b2b346717af07c9d448cfc9d3c3,"Provides a hello world example demo from the C/C++ C API template"
celestial,lisa-sgs/duckdb-celestial,fcc3ab3615868d219ca4cff5c61e2db8a3c4beb0,"Astronomical coordinates utilities"
chaos,taniabogatsch/duckdb-chaos,f076132edafe0a2b150d34af3ad0743bfb937c9f,"Creates chaos! ⋆✴︎˚｡⋆ Chaos allows you to throw any type of DuckDB exception, or to raise a SIGSEGV, SIGABRT, or SIGBUS signal."
cityjson,cityjson/duckdb-cityjson,d511bdba26392bab7d4b789f294065a3fbed58d6,"Read, write, and query CityJSON, CityJSONSeq, and FlatCityBuf 3D city model files."
clamp,oglego/duckdb_clamp,f714928f05bd16e187c585d17fdcb3ea93f653dd,"Provides mathematical clamp functions for numeric types in DuckDB, including general clamping, saturate, and others. Ensures values stay within a specified range and handles NULLs and NaNs correctly."
cloudfront,midwork-finds-jobs/duckdb-cloudfront,5d5309e77ff5a59dad1dd09f94772729fb83cc5a,"AWS CloudFront signed cookie authentication for DuckDB httpfs"
cloudwatch,smithclay/duckdb-cloudwatch,d404b0169cd5e8abe13abcbaf6837745ecf31460,"Read and write Amazon CloudWatch telemetry with OTLP-shaped SQL tables"
cog,st-layer/duckdb-cog,5057905a3a74b0f3343de05fe2fabcf0fc0d902b,"GDAL-free Cloud-Optimized GeoTIFF (COG) reader — query remote rasters in place over HTTP range reads, with STAC catalog integration"
cozip,asterisk-labs/cozip_reader,593d2853a294c33dc1c505c5d7c504159b332489,"Cloud-Optimized ZIP reader for DuckDB"
crawler,midwork-finds-jobs/duckdb-crawler,7725ede99eff1657a2cee770048be33328ae9f02,"SQL-native web crawler with HTML extraction and MERGE support"
cronjob,quackscience/duckdb-extension-cronjob,0571110d3d5f112e4fc92dff212c2f47096d773f,"DuckDB HTTP Cronjob Extension"
crypto,query-farm/crypto,d00273663b08101a78f58f84f933439b02ab2240,"Cryptographic hash functions and HMAC"
curl_httpfs,dentiny/duckdb-curl-filesystem,2a52801f1f99791ddc3e27c683733d681c1e5cfe,"httpfs with connection pool, HTTP/2 and async IO."
cwiqduck,cwiq-os/cwiqduck,b8bb1d3baa276c838a5673999f7f1b2975cb3a12,"DuckDB filesystem extension for CWIQ FS"
dash,gropaul/dash,c2c520e4667a42b3d5d6fa72b0f21f20b15bbdc1,"A fully visual data explorer and GUI for DuckDB. Create interactive dashboards and DAG pipelines."
datadog,smithclay/duckdb-datadog,aaf234fda701d1c4dffb75c3b9aa25a1ce32e9f9,"Read logs from the Datadog Logs Search API into OTLP-shaped tables"
datasketches,query-farm/datasketches,44e63f87c97cd3c33714dbfbccfd5a582ced4fac,"By utilizing the Apache DataSketches library this extension can efficiently compute approximate distinct item counts and estimations of quantiles, while allowing the sketches to be serialized."
decimal_arithmetic,duckdb/duckdb-decimal-arithmetic,66d59be49f75bcb164fd4f26b899cf9f075c4c58,"Extension that adds support special decimal arithmetic functions"
delta_classic,djouallah/delta_classic,ff9914ee3d752b2c1c3e1ea021c7af5b922da63a,"Attach a directory of Delta tables as a single DuckDB database with automatic schema discovery"
delta_export,djouallah/delta_export,ed82a2995dcaa90607f8e924e407d36e86e4b2d4,"Export DuckLake catalog tables to Delta Lake format"
dicom,nmontesg/duck-dicom,v0.6.1,"DuckDB integration with medical imaging data (DICOM - Digital Imaging and Communication in Medicine)."
dns,tobilg/duckdb-dns,c30ce05c92665e5a90aa9511c5b09563f80299fa,"The DNS Extension enables DNS lookups and reverse DNS lookups from within DuckDB"
dta,codedthinking/duckdb-dta,635637253f0954dbd091bfb0a87877ea8cab1787,"Read and write Stata .dta files (formats 117-121, Stata 13-18) with full type mapping, value labels, and strL support."
duck_block_utils,teaguesterling/duckdb_duck_block_utils,0263b0efa01d3a05f8fc9841e1bc21fc21602aa1,"Build, transform, validate, and extract content from structured documents using the duck_block type"
duck_delta_share,cwiq-os/duck_delta_share,99c422debc9a7de75621aeba46c72aa4eea1b9df,"DuckDB Extension for Delta Sharing"
duck_diff,avaitla/duck_diff,9afb9a05ab3ab1b1cfbc27a8fdf2e81b157ed0b4,"Diff two relations (tables, queries) off a primary key, reporting per-key status (identical/different/left_only/right_only), a JSON summary of changed columns, and per-column left/right values."
duck_hunt,teaguesterling/duck_hunt,22c142f3dee138566589783afb56a5e7f2858886,"Parse and analyze test results, build outputs, and CI/CD pipeline logs from 110+ formats with severity filtering, format auto-detection, and context extraction"
duck_lineage,ilum-cloud/duck_lineage,7b3a7d31067f5f264272fd7f1e1b785bc0124e46,"DuckLineage automatically captures data lineage from every DuckDB query and emits OpenLineage events."
duck_tails,teaguesterling/duck_tails,aac04047feb111f087c416e488bb2625955b0d79,"Smart Development Intelligence for DuckDB - Git-aware data analysis capabilities that allow querying git history, accessing files at any revision, and performing version-aware data analysis with SQL."
duckdb_delta_sharing,prequel-co/DuckDB-Delta-Sharing,9bcc9cc2abafcf0d5445709910dd77f6773c3555,"The most efficient way to query Delta Lake tables directly from DuckDB via the Delta Sharing protocol."
duckdb_geoip_rs,william-billaud/duckdb-geoip-rs,111b183fac68bbf7cd88b3580e54af670391fda6,"Retrieve geo ip data from MMDB database"
duckdb_mcp,teaguesterling/duckdb_mcp,7db1650a1b4c04914ae724dd43244e690094ffc0,"Model Context Protocol (MCP) extension for DuckDB that enables seamless integration between SQL databases and MCP servers. Provides both client capabilities for accessing remote MCP resources via SQL and server capabilities for exposing database content as MCP resources."
duckdb_opendalfs,dentiny/duckdb-opendal-filesystem,6e1479e7b8ed4f95dfe40273560f5227c5464d4c,"Remote storage filesystem for DuckDB via Apache OpenDAL — S3, GCS, Azure, Hugging Face, WebDAV, SFTP, and more, with DuckDB secret-based auth."
duckdb_rdkit,bodowd/duckdb_rdkit,aeb2f466efee14eb67096da8ebcfda566189eb6a,"Cheminformatics with RDKit for DuckDB - SMILES/SDF molecules, substructure search, and molecular descriptors."
duckgl,nkwork9999/duckgl,e8bbc917f3676ff738eb41c4617201bcfd7624c9,"DuckDB geospatial visualization with deck.gl and MapLibre"
duckgql,rahul-iyer/duckdb-gql,44e77c6835f9e6758bb3e3bccb1a642981dbf1e7,"Adds ISO GQL graph querying and graph algorithms to DuckDB"
duckhts,RGenomicsETL/duckhts,478c0db77eb289ce59ac1d17b8b9d34385e18eab,"DuckDB extension for reading HTS file formats via htslib"
duckorch,nkwork9999/duck-orch,a5f55790e10c872c439ff58ba9cbe4ee82f9d0e8,"Asset-centric data orchestration with JSON ingestion, partitions, declarative automation sensor, Snowflake-compatible CREATE DYNAMIC ASSET, MCP server, lineage and OpenLineage emission — all on DuckDB"
ducksync,danjsiegel/ducksync,ad95ccc932019e358aaadb1ae08ee88e33b32de9,"Intelligent query result caching between DuckDB and Snowflake with TTL and smart refresh"
ducktinycc,sounkou-bioinfo/DuckTinyCC,5ab6fa819a3e250d0c62a2d7ac19788ae13b6ce7,"DuckDB C extension for in-process JIT compiled C UDFs via TinyCC — self-contained, no external runtime required"
eeagrid,ahuarte47/duckdb-eeagrid,9ee8f7680873e8b681368d2959510b08d13f242c,"Extension that adds support for working with the EEA Reference Grid System."
eenddb,Dtenwolde/dutchdb,f38e0bd9beef3dd0e5e52b505f66610595365498,"The long-awaited Dutch localization of DuckDB's SQL dialect"
erpl_idoc,DataZooDE/erpl-idoc,215ddb6197406d1ecdf65e6daf161b60a76c6e71,"Read & write SAP IDoc files (flat + IDoc-XML) as SQL in DuckDB — a community extension in the erpl family."
erpl_tunnel,DataZooDE/erpl-tunnel,08750ac79a773fd8712c686c091f8ea89c94ceac,"Reach any TCP service from DuckDB through an SSH bastion, Tailscale or NetBird — and publish local ports back onto those networks."
erpl_web,DataZooDE/erpl-web,86fc8d704931ebcc4422830c6700099c168ba8f2,"ERPL is a DuckDB extension to connect to API based ecosystems via standard interfaces like OData, GraphQL and REST. This works e.g. for SAP ERP, SAP Ariba, SAP C4C, Microsoft Dynamics and many more."
eurostat,ahuarte47/duckdb-eurostat,ab635823270880d6f668b07a4cda46f00532634a,"Extension that adds support for reading data from EUROSTAT database using SQL."
evalexpr_rhai,query-farm/evalexpr_rhai,d1e585225b7f78f12d42803a2d02a09fcffc6412,"Evaluate the Rhai scripting language in DuckDB"
faiss,duckdb-faiss-ext/duckdb-faiss-ext,e44df640b1def08315af80c01ce6207062cc7d64,"Provides access to faiss indices from DuckDB."
fakeit,tobilg/duckdb-fakeit,90ce58efcc311f65fc00cfdd29926e69d8d783d3,"The FakeIt Extension enables generation of realistic fake/test data directly in SQL queries"
finetype,meridian-online/finetype,c7662be0359d1e438fea399b133f5115aaa91b6d,"Semantic type classification — detects 251 data types (emails, URLs, dates, UUIDs, currencies, etc.) from raw strings"
fire_duck_ext,BorisBesky/fire_duck_ext,072e51e59b2fdb3daeac4a5c62aca8d8eeb617cb,"Query Google Cloud Firestore directly from DuckDB using SQL"
firebird,flozer/duckdb-firebird,v1.0.1,"Federated read-only access to Firebird (3.0/4.0/5.0) databases from DuckDB, with projection + filter pushdown, INT128 / DECIMAL(38) / TIMESTAMP_TZ support, native ATTACH, and CHARACTER SET NONE handling (default win1252; strict / iso8859_1 / blob also available) with filter-pushdown correctness on transcoded columns."
fit,antoriche/duckdb-fit-extension,d6f8a4660b3dec837ccc9b369b7a7f5a2f85bbb1,"Read Garmin .fit files using DuckDB - GPS tracks, heart rate, power metrics, and fitness device data"
fivetran,fivetran/duckdb_sparse_variant,cdd9a4104e8c76e6498661ff0948222cabbf60df,"Pack sparse join build side into compact variants."
flock,dais-polymtl/flock,adf457edbf74d95cc70fa35d778479d186a7360c,"LLM & RAG extension to combine analytics and semantic analysis"
func_apply,teaguesterling/duckdb_func_apply,refs/tags/v0.2.0,"Dynamic function invocation - call any scalar function or macro by name at runtime"
fuzzycomplete,query-farm/fuzzycomplete,0a4d7e9e8afd8fbb5ca045d3af87f593a98c8278,"Fuzzy matching based autocompletion"
gaggle,CogitatorTech/gaggle,67450c4490b63c6054a73dc1989fddf248aaca23,"A DuckDB extension for working with Kaggle datasets"
gcloud_observability,smithclay/duckdb-gcloud-observability,da73b2af0632a3938e3aad6afe914171cefea16a,"Query Google Cloud logs, metrics, alerts, and service topology from DuckDB"
gcs,northpolesec/duckdb-gcs,84082773578a49454fcbdc055562d827c76c76af,"DuckDB GCS Extension"
gdrive,DataZooDE/duckdb-gdrive,e4d78a732f38225a9690e99828cc5c5e72a8a8d1,"Query files in Google Drive directly with a gdrive:// filesystem"
geosilo,Query-farm/geosilo,9faee3aacf67ba5dae40a98cc9bb440b289617d8,"Compact geometry encoding using delta-encoded coordinates. Achieves 3-4x smaller geometry storage and wire transfer compared to WKB."
ggsql,posit-dev/ggsql-duckdb,90bb61fe551a68fdb6139504a599f3d18954172b,"Bindings to ggsql — Grammar of Graphics based visualizations in SQL"
gh,carlopi/duckdb-gh,10d642a0c851756a14901c620617582fcb316177,"Experimental gh:// filesystem support"
gorz,gorfather/duckdb-gorz,582880d0f5ab23423f6680fcd82babb4fce1c4e1,"Read GORpipe .gorz and .gord files and write .gorz as native DuckDB tables"
gpudb,singhpratech/duckdbgpumetaldbram,dc01848708e8178c8cb07f551761f14002ffe931,"GPU-accelerated analytical operators for DuckDB on NVIDIA CUDA and Apple Silicon Metal. First SQL execution engine that targets Apple Silicon GPUs."
gsheets,evidence-dev/duckdb_gsheets,a209d8a42c8e35cd571467dd7ae2eb65fcb96f75,"Read and write Google Sheets using SQL"
h3,isaacbrodsky/h3-duckdb,166e577da67067e1d488fd551dd3b6bb42b081f2,"Hierarchical hexagonal indexing for geospatial data"
h5db,jokasimr/h5db,v1.2.2,"Read HDF5 datasets and attributes"
harbor,shreeve/duckdb-harbor,70a86f05775908e78b4479944c5beb40aac3e685,"Client/server DuckDB over one HTTP port — web UI, JSON /sql, and native ATTACH (TYPE harbor)"
hashfuncs,query-farm/hashfuncs,2cff8ebf6b58df986eba2aac0992de2d6d42f458,"Non-cryptographic hash functions, xxHash, rapidhash and Murmurhash3"
hedged_request_fs,dentiny/duckdb-hedged-request,56bcbab8ce0a074dfabd21251805eeb71b678bc0,"Provides hedged request for filesystem operations"
hex9,MrBenGriffin/duckdb-hex9,bf3b954b4d91bc6e2ff834dad494e409e0570ab3,"Hex9 hierarchical hexagonal DGGS — point encoding, layer binning, cell geometry as WKB, labels, k-rings, Hamiltonian-curve ordering, and grid enumeration"
hive_metastore,ilum-cloud/duckdb-hive-metastore,182aea05140728a50cddc79eecce3399617da1ce,"Attach Apache Hive Metastore as a native DuckDB catalog and read/write the data inside with ease!"
holtfs,feichai0017/duckdb-holtfs,60871b07cb98b515f75c0aaf4efcab72510a4406,"Holt-backed metadata indexes for fast DuckDB file discovery"
hostfs,gropaul/hostFS,29017b23edd9bed0cbd9847c9ba76b84427df1f7,"Navigate and explore the filesystem using SQL"
http_client,query-farm/httpclient,ae403862ff7fa4ed119f1baa855e579104eefe7b,"DuckDB HTTP Client Extension"
httpfs_timeout_retry,dentiny/duckdb-httpfs-timeout-retry,50d43c0c00ff7cf71dec3ab14c81d69e9b29788d,"Add per-operation timeout and retry for httpfs extension"
httpserver,Query-farm/httpserver,ff40b661c5415359df80a3f67fb0cf78962e0c34,"DuckDB HTTP API Server Extension"
huggingface,dentiny/duckdb-huggingface,3af098eab0955db299d6e494e4345f4ab0a6c498,"Discover, query, profile, and estimate the storage of Hugging Face datasets"
infera,CogitatorTech/infera,b15134d00ace5051c6ba89a53836c25249a47a64,"A DuckDB extension for in-database inference"
inflector,query-farm/inflector,ec2c7f4f075a43dd0e9877338bf58e637a79d9c8,"Powerful string case transformation and inflection capabilities directly to your SQL queries."
interlis,edigonzales/duckdb-interlis,30923246a778f7db6319ed09052aaa1176c9cc7f,"Native INTERLIS model introspection and streaming XTF support for DuckDB"
ion,kestra-io/duckdb-ion,a144356501ec0432b5025c6b8d19f643761d6f65,"Read AWS Ion data and write Ion text or binary with typed mappings"
json_schema,query-farm/json_schema,ff488f3d003b6fc26f6433699a7b1a315ec86e05,"Adds support for validating JSON data with JSON schemas."
jsonata,query-farm/jsonata,aad1d6a98368714182ff50d3e1008480f9247c79,"The JSONata extension for DuckDB enables expressive, JSON-focused querying and transformation directly within SQL using the powerful JSONata expression language."
jsono,Flamefork/duckdb-jsono,v0.1.1,"Analytics-optimized JSON storage — parse one time and read many times, and shred hot paths into typed columns for pushdown and row-group pruning"
keboola,keboola/duckdb-extension,7c2afb8ea0136b52be3128fbb25bc9519f39f4a3,"DuckDB extension for Keboola Storage — query and write Keboola tables using standard SQL"
latency_injection_fs,dentiny/duckdb-filesystem-latency-injection,88f34426ce0531c48a81773eff566bf94cc2c594,"Used to inject simulated latency to filesystem operations"
laterite_ags4,niko86/laterite-duckdb,b6ef2debe3ebd6b7c72c81d0dcc9ff7b62e1ee31,"Read AGS4 geotechnical data files as typed, UUID-keyed tables directly from SQL — born-typed columns, deterministic content-addressed keys that join across groups by construction, and an embedded AGS dictionary. A read-only SQL surface. Local, http(s):// and s3:// (with httpfs)."
ldbc_data_gen,Dtenwolde/ldbc-data-gen,e7d26eac0e0feb70ec37a90112607adac807e901,"Generate LDBC SNB BI datasets directly from DuckDB"
level_pivot,halgari/duckdb-level-pivot,005c79629fbb9b6959c183249d3f722b9d300c2f,"Storage extension wrapping LevelDB with pivot semantics for structured relational tables over key-value pairs"
lindel,query-farm/lindel,7cca5986cac2dab981b41c4fa279d162823fd22f,"Linearization/Delinearization, Z-Order, Hilbert and Morton Curves"
livetennis,livetennisapi/duckdb-livetennis,v0.1.0,"Query the Live Tennis API from SQL - live matches, upcoming fixtures and player search as table functions"
llm,midwork-finds-jobs/duckdb-llm,18c5a54197440fcf43643c22f5de9ea9cbfe31e5,"Call LLM APIs (OpenAI, Gemini, Cloudflare) directly from SQL with structured output support."
lpts,cwida/lpts,6845654b3ce21922f83f226937abd3aa9a790a70,"Optimized-plan inspection and cross-system SQL transpilation"
lua,isaacbrodsky/duckdb-lua,8c72b730b66db7a275f01c15d27bcb4074790eb4,"Evaluate Lua scripts within queries"
luajit,alitrack/duckdb-luajit,refs/tags/v0.32.1,"In-process LuaJIT UDFs for DuckDB — JIT-compiled, parallel (per-thread states), trusted sandbox, GROUP BY aggregates, LIST/STRUCT/MAP bridges, embedded Fennel compiler"
marisa,query-farm/marisa,81773b014c5be3f4029fe9ecdd0575477b435dda,"Adds MARISA (Matching Algorithm with Recursively Implemented StorAge) trie functionality for DuckDB. MARISA is a static and space-efficient trie data structure that enables fast string lookups, prefix searches, and predictive text operations."
markdown,teaguesterling/duckdb_markdown,refs/tags/v1.5.1,"Read, analyze, and write Markdown files with block-level document representation and inline element support"
maxmind,marselester/duckdb-maxmind,dc2e6e60f619403c4714e95f014f6444a2653f9c,"Read MaxMind databases (GeoLite, GeoIP, and more)"
miint,the-miint/duckdb-miint,c2e8d972724afd82fbbe542f6abf5c7a984f375d,"Bioinformatics extension for microbiome research - read/write FASTQ, SAM/BAM, BIOM, GFF, Newick trees, query NCBI, and more."
minijinja,query-farm/minijinja,0ef3da8a62704d00a10329340c57430f4d3cbd81,"Adds templating to DuckDB, enabling dynamic generation of text, HTML, and reports directly within SQL queries using the MiniJinja engine."
miniplot,nkwork9999/miniplot,32fc16fb4beec1fe5c3b1a705a00426e8dc3863a,"Interactive chart visualization for DuckDB - faster than pandas with Plotly-like charts"
ml,alitrack/duckdb-ml,refs/tags/v0.2.0,"Lightweight, columnar-native ML for DuckDB — train + inference, 34 algorithms, zero Python deps"
mlpack,eddelbuettel/duckdb-mlpack,ead4698674d803909b1f9c01b083ecc7ea586c3a,"Connecting duckdb to the mlpack C++ machine learning library"
motorsport_telemetry,tobi/duckdb_motorsport_telemetry,8cc06a597e33e7558be759cbffa44f2a2e1baa49,"Query Cosworth PDS, MoTeC LD, and Racelogic VBOX telemetry directly in DuckDB"
mssql,hugr-lab/mssql-extension,v0.2.4,"Connect DuckDB to Microsoft SQL Server via native TDS (including TLS)."
nanoarrow,paleolimbot/duckdb-nanoarrow,42e4199a67c4cd0789087562a025e87e7130fdc3,"Allows the consumption and production of the Apache Arrow interprocess communication (IPC) format, both from files and directly from stream buffers."
netquack,hatamiarash7/duckdb-netquack,3e41ef474b9deb5303538965d07712e803d8c732,"DuckDB extension for parsing, extracting, and analyzing domains, URIs, and paths with ease."
nsv,nsv-format/nsv-duckdb,52da7b3a2248a4c11dbd51251c89555e9587c282,"Read and write NSV (Newline-Separated Values) files"
oast,hrbrmstr/duckdb-oast,61164985f09e98900bf05d012e740199dfe3b4bd,"Validate, decode, and extract OAST (Out-of-Band Application Security Testing) domains in SQL"
observefs,dentiny/duckdb-filesystem-observability,5c6fde24e9fa0e3a36d5df291ac8d9414f870b0d,"Provides IO observability to filesystem"
onager,CogitatorTech/onager,49ad15b52321b914eb31710788418f2c01d4ba43,"A DuckDB extension for graph data analytics"
open_prompt,quackscience/duckdb-extension-openprompt,4e42c145ab1d10a534c71f2b5ad704c6d911a280,"Interact with LLMs with a simple DuckDB Extension"
opendal,chitralverma/duckdb-opendal,6e998efad81618458518fbc061f1797354f13c56,"Access S3, local filesystem, and other storage services through Apache OpenDAL"
orc,alitrack/duckdb_orc,1dab6ffc2f2b401b765c87727a31e00a502152e6,"A DuckDB extension for reading Apache ORC files, written in pure Rust. Supports all ORC primitives, struct, list, map types and all compression codecs (Zlib, Snappy, LZO, LZ4, ZSTD)."
osmium,jake-low/duckdb-osmium,0319fa36979af646da8bda871759165f469f8f73,"Read OpenStreetMap data from OSM XML and PBF files"
otlp,smithclay/duckdb-otlp,8e627d8e45637316f14ad5e62493ad754b8c34a1,"Query OpenTelemetry traces, logs, and metrics with SQL — or stream live OTLP/HTTP into DuckDB, DuckLake, or Iceberg"
pac,cwida/pac,597f6d0cffb70ec85e1752c04c6b7abafb43a583,"Automatic query privatization using the PAC Privacy framework"
paimon,polardb/duckdb-paimon,0764988fac3c37161ae465dd9232ff95213db329,"Query Apache Paimon tables directly from DuckDB"
parser_tools,hotdata-dev/duckdb_extension_parser_tools,6a94f2b261bdca4c8f2f8454697e2f6e7bcea9c5,"Exposes functions for parsing referenced tables and usage context from SQL queries using DuckDB's native parser."
pbi_scanner,crazy-treyn/pbi_scanner,f9889e854a0f0770dc8a06f30db655f961ece6e5,"DuckDB extension for querying Power BI Semantic Models with DAX."
pbix,Hugoberry/duckdb-pbix-extension,3d863fc006d22e9a6dcfae59fbf4a46edca8fd13,"Extension that allows parsing the data model embedded in PowerBI (pbix) files"
pdal,ahuarte47/duckdb-pdal,5ff71b1700ce67679af66b4120f51d797053bec6,"Extension that adds support for manipulating point cloud data using SQL."
pdf,asubbarao/duckdb-pdf,6535c8107e4106058df6f2a111407c1b823fb858,"Read, OCR, inspect, transform, and write PDFs in SQL"
petgraph_ext,alitrack/duckdb_petgraph,refs/tags/v0.5.1,"Graph algorithms for DuckDB — PageRank, shortest path, SCC, MST, and more via petgraph"
pfc,ImpossibleForge/pfc-duckdb,295d69d9af0bc750c5a4a87e919b9d97e985cc1a,"Read PFC-JSONL compressed log files directly in DuckDB with block-level timestamp filtering"
pic2vec,nkwork9999/pic2vec,113ee24b4e48419e4d56dd3b4e8b0f49e9d184ee,"Picture-to-vector — image embeddings from SQL via tract-onnx (Rust). Bundles Meta's EUPE ViT-T/16; works with any ONNX vision model."
pivot_table,Alex-Monahan/pivot_table,9852c3ad9af74f4aeb61f7140bd6220fd08fa0c5,"Provides a spreadsheet-style pivot_table function"
plinking_duck,teaguesterling/plinking_duck,b32b0cde755ee261ad4e25ca6634e9bc1c560786,"Read PLINK 2 genomics file formats and run common genetic analyses directly in SQL"
polyglot,tobilg/duckdb-polyglot,8f1666dd9c1761c368f45acc5dfc48c7e54539d9,"Transpile SQL from 34 different dialects into DuckDB SQL"
prometheus,botan/duckdb-prometheus,9d8c511355b21444e5051c1e6d35f90e260ef8ac,"Query Prometheus-compatible HTTP APIs directly from DuckDB"
prql,ywelsch/duckdb-prql,17368b6881efcd7a045dcbc26fc617edfaf2fd09,"Support for PRQL, the Pipelined Relational Query Language"
psql,ywelsch/duckdb-psql,4e310a6056dff4808de4be4bd0c0e571ed6d7a5a,"Support for PSQL, a piped SQL dialect for DuckDB"
pst,intellekthq/duckdb-pst,v0.2.0,"Read and edit in place Microsoft PST files with rich schemas for common MAPI types (emails, contacts, appointments, tasks)"
